Accession	Protein names	Gene names
A2A5R2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2
A2A5X4	Keratin-associated protein 29-1	Krtap29-1
A2A5X5	Keratin-associated protein 16-1	Krtap16-1
A2A5Z6	E3 ubiquitin-protein ligase SMURF2	Smurf2
A2A5Z6-2	Isoform 2 of E3 ubiquitin-protein ligase SMURF2	Smurf2
A2A690	Protein TANC2	Tanc2
A2A690-2	Isoform 2 of Protein TANC2	Tanc2
A2A699	Protein FAM171A2	Fam171a2
A2A699-2	Isoform 2 of Protein FAM171A2	Fam171a2
A2A6A1	G patch domain-containing protein 8	Gpatch8
A2A6C4	Signal peptide peptidase-like 2C	Sppl2c
A2A6C4-2	Isoform 2 of Signal peptide peptidase-like 2C	Sppl2c
A2A6H3	F-box only protein 47	Fbxo47
A2A6M5	Calcium-binding and coiled-coil domain-containing protein 2	Calcoco2
A2A6M5-2	Isoform 2 of Calcium-binding and coiled-coil domain-containing protein 2	Calcoco2
A2A6M5-3	Isoform 3 of Calcium-binding and coiled-coil domain-containing protein 2	Calcoco2
A2A6M5-4	Isoform 4 of Calcium-binding and coiled-coil domain-containing protein 2	Calcoco2
A2A6M5-5	Isoform 5 of Calcium-binding and coiled-coil domain-containing protein 2	Calcoco2
A2A6Q5	Cell division cycle protein 27 homolog	Cdc27
A2A6Q5-2	Isoform 2 of Cell division cycle protein 27 homolog	Cdc27
A2A6Q5-3	Isoform 3 of Cell division cycle protein 27 homolog	Cdc27
A2A6T1	Cerebellar degeneration-related protein 2-like	Cdr2l
A2A761	Zinc finger protein 69	Zfp69
A2A791	Zinc finger MYM-type protein 4	Zmym4
A2A791-2	Isoform 2 of Zinc finger MYM-type protein 4	Zmym4
A2A7Q9	E3 ubiquitin-protein ligase RNF19B	Rnf19b
A2A7S8	Uncharacterized protein KIAA1522	Kiaa1522
A2A7S8-2	Isoform 2 of Uncharacterized protein KIAA1522	Kiaa1522
A2A7S8-3	Isoform 3 of Uncharacterized protein KIAA1522	Kiaa1522
A2A7S8-4	Isoform 4 of Uncharacterized protein KIAA1522	Kiaa1522
A2A7V7	CMRF35-like molecule 6	Cd300c
A2A7Y5	Migration and invasion-inhibitory protein	Miip
A2A7Y5-2	Isoform 2 of Migration and invasion-inhibitory protein	Miip
A2A7Z8	Arylacetamide deacetylase-like 3	Aadacl3
A2A825	Ciliogenesis and planar polarity effector 2	Cplane2
A2A863	Integrin beta-4	Itgb4
A2A863-2	Isoform 2 of Integrin beta-4	Itgb4
A2A863-3	Isoform 3 of Integrin beta-4	Itgb4
A2A870	Fas-binding factor 1	Fbf1
A2A870-2	Isoform 2 of Fas-binding factor 1	Fbf1
A2A884	Transcription factor HIVEP3	Hivep3
A2A891	Calmodulin-binding transcription activator 1	Camta1
A2A891-2	Isoform 2 of Calmodulin-binding transcription activator 1	Camta1
A2A891-3	Isoform 3 of Calmodulin-binding transcription activator 1	Camta1
A2A891-4	Isoform 4 of Calmodulin-binding transcription activator 1	Camta1
A2A891-5	Isoform 5 of Calmodulin-binding transcription activator 1	Camta1
A2A8L1	Chromodomain-helicase-DNA-binding protein 5	Chd5
A2A8L5	Receptor-type tyrosine-protein phosphatase F	Ptprf
A2A8T7	Testis-expressed protein 38	Tex38
A2A8U2	Transmembrane protein 201	Tmem201
A2A8U2-2	Isoform 2 of Transmembrane protein 201	Tmem201
A2A8U2-3	Isoform 3 of Transmembrane protein 201	Tmem201
A2A8Z1	Oxysterol-binding protein-related protein 9	Osbpl9
A2A8Z1-2	Isoform 2 of Oxysterol-binding protein-related protein 9	Osbpl9
A2A935	Histone-lysine N-methyltransferase PRDM16	Prdm16
A2A935-2	Isoform 2 of Histone-lysine N-methyltransferase PRDM16	Prdm16
A2A935-3	Isoform 3 of Histone-lysine N-methyltransferase PRDM16	Prdm16
A2A974	Cytochrome P450 4A12B	Cyp4a12b
A2A995	FYN-binding protein 2	Fyb2
A2A9A2	Doublesex- and mab-3-related transcription factor A2	Dmrta2
A2A9C3	KICSTOR complex protein SZT2	Szt2
A2A9C3-2	Isoform 2 of KICSTOR complex protein SZT2	Szt2
A2A9F4	Keratinocyte differentiation factor 1	Kdf1
A2A9G7	Protein shisa-like-2A	Shisal2a
A2A9I7	Doublesex- and mab-3-related transcription factor B1	Dmrtb1
A2A9Q0	Fibronectin type III domain-containing protein 10	Fndc10
A2A9R3	Melanoma-associated antigen B4	Mageb4
A2A9T0	TANK-binding kinase 1-binding protein 1	Tbkbp1
A2A9T0-2	Isoform 2 of TANK-binding kinase 1-binding protein 1	Tbkbp1
A2AA28	Histone-arginine methyltransferase METTL23	Mettl23
A2AAE1	Transmembrane protein KIAA1109	Kiaa1109
A2AAE1-2	Isoform 2 of Transmembrane protein KIAA1109	Kiaa1109
A2AAE1-3	Isoform 3 of Transmembrane protein KIAA1109	Kiaa1109
A2AAE1-4	Isoform 4 of Transmembrane protein KIAA1109	Kiaa1109
A2AAE1-5	Isoform 5 of Transmembrane protein KIAA1109	Kiaa1109
A2AAE1-6	Isoform 6 of Transmembrane protein KIAA1109	Kiaa1109
A2AAJ9	Obscurin	Obscn
A2AAJ9-2	Isoform 2 of Obscurin	Obscn
A2AAJ9-3	Isoform 3 of Obscurin	Obscn
A2AAX3	Kelch-like protein 15	Klhl15
A2AAX3-2	Isoform 2 of Kelch-like protein 15	Klhl15
A2AAX3-3	Isoform 3 of Kelch-like protein 15	Klhl15
A2AAY5	SH3 and PX domain-containing protein 2B	Sh3pxd2b
A2AB59	Rho GTPase-activating protein 27	Arhgap27
A2AB59-2	Isoform 2 of Rho GTPase-activating protein 27	Arhgap27
A2ABU4	Myomesin-3	Myom3
A2ABV5	Mediator of RNA polymerase II transcription subunit 14	Med14
A2ABV5-2	Isoform 2 of Mediator of RNA polymerase II transcription subunit 14	Med14
A2ABV5-3	Isoform 3 of Mediator of RNA polymerase II transcription subunit 14	Med14
A2ABV5-4	Isoform 4 of Mediator of RNA polymerase II transcription subunit 14	Med14
A2AC93	Dynein axonemal intermediate chain 2	Dnai2
A2AC93-2	Isoform 2 of Dynein axonemal intermediate chain 2	Dnai2
A2ACG1	TLD domain-containing protein 2	Tldc2
A2ACJ2	Fanconi anemia core complex-associated protein 100	Faap100
A2ACP1	Tetratricopeptide repeat protein 39A	Ttc39a
A2ACP1-2	Isoform 2 of Tetratricopeptide repeat protein 39A	Ttc39a
A2AD83	FERM domain-containing protein 7	Frmd7
A2ADA5	tRNA pseudouridine synthase-like 1	Pusl1
A2ADA5-2	Isoform 2 of tRNA pseudouridine synthase-like 1	Pusl1
A2ADA5-3	Isoform 3 of tRNA pseudouridine synthase-like 1	Pusl1
A2ADF7	Solute carrier family 25 member 34	Slc25a34
A2ADF7-2	Isoform 2 of Solute carrier family 25 member 34	Slc25a34
A2ADU8	Diacylglycerol O-acyltransferase 2-like protein 6	Dgat2l6
A2ADU9	Acyl-CoA wax alcohol acyltransferase 1	Awat1
A2ADY9	Protein DDI1 homolog 2	Ddi2
A2ADZ8	IQ domain-containing protein C	Iqcc
A2AE20	Sperm acrosome-associated protein 5	Spaca5
A2AE42	Probable transmembrane reductase CYB561D1	Cyb561d1
A2AED3	Fibronectin type III domain-containing protein 7	Fndc7
A2AED3-3	Isoform 2 of Fibronectin type III domain-containing protein 7	Fndc7
A2AED3-4	Isoform 3 of Fibronectin type III domain-containing protein 7	Fndc7
A2AEP0	Odorant-binding protein 1b	Obp1b
A2AEV7	Coiled-coil domain-containing protein 120	Ccdc120
A2AEY4	MAP7 domain-containing protein 3	Map7d3
A2AEY4-2	Isoform 2 of MAP7 domain-containing protein 3	Map7d3
A2AF47	Dedicator of cytokinesis protein 11	Dock11
A2AF53	Transmembrane protein 185A	Tmem185a
A2AFE9	Proline-rich protein 32	Prr32
A2AFR3	FERM and PDZ domain-containing protein 4	Frmpd4
A2AFR3-2	Isoform 2 of FERM and PDZ domain-containing protein 4	Frmpd4
A2AFR3-3	Isoform 3 of FERM and PDZ domain-containing protein 4	Frmpd4
A2AFS3	Endosome/lysosome-associated apoptosis and autophagy regulator 1	Elapor1
A2AFS3-2	Isoform 2 of Endosome/lysosome-associated apoptosis and autophagy regulator 1	Elapor1
A2AFS3-3	Isoform 3 of Endosome/lysosome-associated apoptosis and autophagy regulator 1	Elapor1
A2AG06	Meiosis-specific coiled-coil domain-containing protein MEIOC	Meioc
A2AG06-2	Isoform 2 of Meiosis-specific coiled-coil domain-containing protein MEIOC	Meioc
A2AG50	MAP7 domain-containing protein 2	Map7d2
A2AG50-2	Isoform 2 of MAP7 domain-containing protein 2	Map7d2
A2AG50-3	Isoform 3 of MAP7 domain-containing protein 2	Map7d2
A2AG58	BCLAF1 and THRAP3 family member 3	Bclaf3
