Accession	Protein names	Gene names
O55103	Periaxin	Prx
O55103-2	Isoform 2 of Periaxin	Prx
O55106	Striatin	Strn
O55111	Desmoglein-2	Dsg2
O55112	AF4/FMR2 family member 2	Aff2
O55123	Stromelysin-2	Mmp10
O55125	Protein NipSnap homolog 1	Nipsnap1
O55126	Protein NipSnap homolog 2	Nipsnap2
O55127	Cytochrome P450 26A1	Cyp26a1
O55128	Histone deacetylase complex subunit SAP18	Sap18
O55131	Septin-7	Septin7
O55134	Protocadherin-12	Pcdh12
O55135	Eukaryotic translation initiation factor 6	Eif6
O55137	Acyl-coenzyme A thioesterase 1	Acot1
O55142	60S ribosomal protein L35a	Rpl35a
O55143	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Atp2a2
O55143-2	Isoform 2 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Atp2a2
O55144	T-cell leukemia homeobox protein 3	Tlx3
O55176	E3 ubiquitin-protein ligase Praja-1	Pja1
O55176-2	Isoform 2 of E3 ubiquitin-protein ligase Praja-1	Pja1
O55176-4	Isoform 3 of E3 ubiquitin-protein ligase Praja-1	Pja1
O55176-5	Isoform 4 of E3 ubiquitin-protein ligase Praja-1	Pja1
O55183	Stanniocalcin-1	Stc1
O55186	CD59A glycoprotein	Cd59a
O55187	E3 SUMO-protein ligase CBX4	Cbx4
O55187-2	Isoform 2 of E3 SUMO-protein ligase CBX4	Cbx4
O55188	Dentin matrix acidic phosphoprotein 1	Dmp1
O55189	Ameloblastin	Ambn
O55192	Sodium-dependent noradrenaline transporter	Slc6a2
O55196	Enamelin	Enam
O55201	Transcription elongation factor SPT5	Supt5h
O55201-2	Isoform 2 of Transcription elongation factor SPT5	Supt5h
O55203	LIM domain-binding protein 2	Ldb2
O55203-2	Isoform 2 of LIM domain-binding protein 2	Ldb2
O55203-3	Isoform 3 of LIM domain-binding protein 2	Ldb2
O55208	Factor in the germline alpha	Figla
O55222	Integrin-linked protein kinase	Ilk
O55225	Otogelin	Otog
O55225-2	Isoform 2 of Otogelin	Otog
O55226	Chondroadherin	Chad
O55229	Choline/ethanolamine kinase	Chkb
O55230	DNA repair protein RAD51 homolog 4	Rad51d
O55233	Cerberus	Cer1
O55234	Proteasome subunit beta type-5	Psmb5
O55236	mRNA-capping enzyme	Rngtt
O55237	CD70 antigen	Cd70
O55239	Nicotinamide N-methyltransferase	Nnmt
O55240	Retinol dehydrogenase 5	Rdh5
O55241	Orexin	Hcrt
O55242	Sigma non-opioid intracellular receptor 1	Sigmar1
O55242-2	Isoform 2 of Sigma non-opioid intracellular receptor 1	Sigmar1
O70126	Aurora kinase B	Aurkb
O70131	Ninjurin-1	Ninj1
O70133	ATP-dependent RNA helicase A	Dhx9
O70133-2	Isoform 2 of ATP-dependent RNA helicase A	Dhx9
O70133-3	Isoform 3 of ATP-dependent RNA helicase A	Dhx9
O70137	Homeobox protein aristaless-like 3	Alx3
O70138	Neutrophil collagenase	Mmp8
O70139	cAMP-dependent protein kinase inhibitor gamma	Pkig
O70145	Neutrophil cytosol factor 2	Ncf2
O70146	Dual specificity testis-specific protein kinase 1	Tesk1
O70152	Dolichol-phosphate mannosyltransferase subunit 1	Dpm1
O70157	DNA topoisomerase 3-alpha	Top3a
O70161	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	Pip5k1c
O70161-2	Isoform 2 of Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	Pip5k1c
O70161-3	Isoform 3 of Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	Pip5k1c
O70165	Ficolin-1	Fcn1
O70166	Stathmin-3	Stmn3
O70167	Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma	Pik3c2g
O70167-2	Isoform 2 of Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma	Pik3c2g
O70169	Inactive serine protease 39	Prss39
O70172	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	Pip4k2a
O70174	Neuronal acetylcholine receptor subunit alpha-4	Chrna4
O70176	Pituitary adenylate cyclase-activating polypeptide	Adcyap1
O70191	Cyclic AMP-dependent transcription factor ATF-5	Atf5
O70194	Eukaryotic translation initiation factor 3 subunit D	Eif3d
O70200	Allograft inflammatory factor 1	Aif1
O70201	Baculoviral IAP repeat-containing protein 5	Birc5
O70201-2	Isoform 2 of Baculoviral IAP repeat-containing protein 5	Birc5
O70201-3	Isoform 3 of Baculoviral IAP repeat-containing protein 5	Birc5
O70209	PDZ and LIM domain protein 3	Pdlim3
O70218	Homeobox protein HMX1	Hmx1
O70220	Forkhead box protein Q1	Foxq1
O70228	Probable phospholipid-transporting ATPase IIA	Atp9a
O70230	Zinc finger protein 143	Znf143
O70230-2	Isoform 2 of Zinc finger protein 143	Znf143
O70230-3	Isoform 3 of Zinc finger protein 143	Znf143
O70237	Zinc finger protein Gfi-1b	Gfi1b
O70250	Phosphoglycerate mutase 2	Pgam2
O70251	Elongation factor 1-beta	Eef1b
O70252	Heme oxygenase 2	Hmox2
O70255	Myelin protein zero-like protein 2	Mpzl2
O70258	Epsilon-sarcoglycan	Sgce
O70258-2	Isoform 2 of Epsilon-sarcoglycan	Sgce
O70263	E3 ubiquitin-protein ligase LNX	Lnx1
O70263-2	Isoform 2 of E3 ubiquitin-protein ligase LNX	Lnx1
O70263-3	Isoform 3 of E3 ubiquitin-protein ligase LNX	Lnx1
O70273	ETS homologous factor	Ehf
O70273-2	Isoform 2 of ETS homologous factor	Ehf
O70273-3	Isoform 3 of ETS homologous factor	Ehf
O70274	Protein tyrosine phosphatase type IVA 2	Ptp4a2
O70279	Splicing factor ESS-2 homolog	Ess2
O70281	Protein-tyrosine sulfotransferase 1	Tpst1
O70283	Protein Wnt-2b	Wnt2b
O70291	G protein-coupled receptor kinase 4	Grk4
O70293	G protein-coupled receptor kinase 6	Grk6
O70293-2	Isoform GRK6B of G protein-coupled receptor kinase 6	Grk6
O70299	Putative nucleotidyltransferase MAB21L1	Mab21l1
O70300	Persephin	Pspn
O70302	Cell death activator CIDE-A	Cidea
O70303	Cell death activator CIDE-B	Cideb
O70305	Ataxin-2	Atxn2
O70305-2	Isoform 2 of Ataxin-2	Atxn2
O70305-3	Isoform 3 of Ataxin-2	Atxn2
O70306	T-box transcription factor TBX15	Tbx15
O70309	Integrin beta-5	Itgb5
O70309-2	Isoform Beta-5B of Integrin beta-5	Itgb5
O70310	Glycylpeptide N-tetradecanoyltransferase 1	Nmt1
O70311	Glycylpeptide N-tetradecanoyltransferase 2	Nmt2
O70318	Band 4.1-like protein 2	Epb41l2
O70324	Monocarboxylate transporter 8	Slc16a2
O70325	Phospholipid hydroperoxide glutathione peroxidase	Gpx4
O70325-2	Isoform Cytoplasmic of Phospholipid hydroperoxide glutathione peroxidase	Gpx4
O70325-3	Isoform Nuclear of Phospholipid hydroperoxide glutathione peroxidase	Gpx4
O70326	Gremlin-1	Grem1
O70333	Cysteine-rich PDZ-binding protein	Cript
O70337	Bcl-2-interacting killer	Bik
O70338	Ribonuclease H1	Rnaseh1
O70340	Neuronal pentraxin-2	Nptx2
O70342	Neuropeptide Y receptor type 5	Npy5r
O70343	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	Ppargc1a
O70343-2	Isoform 2 of Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	Ppargc1a
O70343-3	Isoform 3 of Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	Ppargc1a
O70343-4	Isoform 4 of Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	Ppargc1a
O70348	Decapping and exoribonuclease protein	Dxo
O70354	Carbonic anhydrase-related protein 11	Ca11
O70355	Butyrophilin-like protein 2	Btnl2
O70355-2	Isoform 2 of Butyrophilin-like protein 2	Btnl2
O70361	Period circadian protein homolog 3	Per3
O70362	Phosphatidylinositol-glycan-specific phospholipase D	Gpld1
O70370	Cathepsin S	Ctss
O70372	Telomerase reverse transcriptase	Tert
O70373	Xin actin-binding repeat-containing protein 1	Xirp1
O70374	Protein CBFA2T2	Cbfa2t2
O70374-2	Isoform 2 of Protein CBFA2T2	Cbfa2t2
O70378	ER membrane protein complex subunit 8	Emc8
O70394	Interleukin-27 receptor subunit alpha	Il27ra
O70400	PDZ and LIM domain protein 1	Pdlim1
O70401	Tetraspanin-6	Tspan6
O70404	Vesicle-associated membrane protein 8	Vamp8
O70405	Serine/threonine-protein kinase ULK1	Ulk1
O70410	Vomeronasal type-2 receptor 1	Vmn2r1
O70421	Frizzled-1	Fzd1
O70422	General transcription factor IIH subunit 4	Gtf2h4
O70423	Membrane primary amine oxidase	Aoc3
O70423-2	Isoform 2 of Membrane primary amine oxidase	Aoc3
O70433	Four and a half LIM domains protein 2	Fhl2
O70435	Proteasome subunit alpha type-3	Psma3
O70439	Syntaxin-7	Stx7
O70443	Guanine nucleotide-binding protein G(z) subunit alpha	Gnaz
O70445	BRCA1-associated RING domain protein 1	Bard1
O70451	Monocarboxylate transporter 2	Slc16a7
O70456	14-3-3 protein sigma	Sfn
O70458	Oncostatin-M-specific receptor subunit beta	Osmr
O70458-2	Isoform 2 of Oncostatin-M-specific receptor subunit beta	Osmr
O70460	C-C motif chemokine 19	Ccl19
O70468	"Myosin-binding protein C, cardiac-type"	Mybpc3
O70469	Docking protein 2	Dok2
O70472	Transmembrane protein 131	Tmem131
O70475	UDP-glucose 6-dehydrogenase	Ugdh
O70477	Homeobox protein PKNOX1	Pknox1
O70479	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2	Tnfaip1
O70480	Vesicle-associated membrane protein 4	Vamp4
O70481	E3 ubiquitin-protein ligase UBR1	Ubr1
O70491	Receptor for retinol uptake STRA6	Stra6
O70492	Sorting nexin-3	Snx3
O70493	Sorting nexin-12	Snx12
O70494	Transcription factor Sp3	Sp3
O70494-2	Isoform 2 of Transcription factor Sp3	Sp3
O70494-3	Isoform 3 of Transcription factor Sp3	Sp3
O70496	H(+)/Cl(-) exchange transporter 7	Clcn7
O70497	Ficolin-2	Fcn2
O70503	Very-long-chain 3-oxoacyl-CoA reductase	Hsd17b12
O70503-2	Isoform 2 of Very-long-chain 3-oxoacyl-CoA reductase	Hsd17b12
O70507	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	Hcn4
O70514	Fibroblast growth factor-binding protein 1	Fgfbp1
O70546	Lysine-specific demethylase 6A	Kdm6a
O70546-2	Isoform 2 of Lysine-specific demethylase 6A	Kdm6a
O70548	Telethonin	Tcap
O70551	SRSF protein kinase 1	Srpk1
O70552	Protein BTG4	Btg4
O70554	Small proline-rich protein 2B	Sprr2b
O70555	Small proline-rich protein 2D	Sprr2d
O70556	Small proline-rich protein 2E	Sprr2e
O70557	Small proline-rich protein 2F	Sprr2f
O70558	Small proline-rich protein 2G	Sprr2g
O70559	Small proline-rich protein 2H	Sprr2h
O70560	Small proline-rich protein 2I	Sprr2i
O70561	Putative small proline-rich protein 2J	Sprr2j
O70562	Small proline-rich protein 2K	Sprr2k
O70566	Protein diaphanous homolog 2	Diaph2
O70570	Polymeric immunoglobulin receptor	Pigr
O70571	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial"	Pdk4
O70572	Sphingomyelin phosphodiesterase 2	Smpd2
O70576	Cohesin subunit SA-3	Stag3
O70577	Solute carrier family 22 member 2	Slc22a2
O70577-2	Isoform 2 of Solute carrier family 22 member 2	Slc22a2
O70578	Voltage-dependent calcium channel gamma-1 subunit	Cacng1
O70579	Peroxisomal membrane protein PMP34	Slc25a17
O70582	"Arachidonate 12-lipoxygenase, 12R-type"	Alox12b
O70583	E3 ubiquitin-protein ligase Midline-1	Mid1
O70583-2	Isoform 2 of E3 ubiquitin-protein ligase Midline-1	Mid1
O70583-3	Isoform 3 of E3 ubiquitin-protein ligase Midline-1	Mid1
O70584	Homeobox protein Nkx-2.8	Nkx2-8
O70585	Dystrobrevin beta	Dtnb
O70585-2	Isoform 2 of Dystrobrevin beta	Dtnb
O70589	Peripheral plasma membrane protein CASK	Cask
O70589-2	Isoform 2 of Peripheral plasma membrane protein CASK	Cask
O70589-3	Isoform 3 of Peripheral plasma membrane protein CASK	Cask
O70589-4	Isoform 4 of Peripheral plasma membrane protein CASK	Cask
O70589-5	Isoform 5 of Peripheral plasma membrane protein CASK	Cask
O70591	Prefoldin subunit 2	Pfdn2
O70622	Reticulon-2	Rtn2
O70622-2	Isoform 2 of Reticulon-2	Rtn2
O70624	Myocilin	Myoc
O70628	"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"	Pde9a
O88174	Membrane cofactor protein	Cd46
O88174-2	Isoform 2 of Membrane cofactor protein	Cd46
O88186	Platelet glycoprotein IX	Gp9
O88188	Lymphocyte antigen 86	Ly86
O88196	E3 ubiquitin-protein ligase TTC3	Ttc3
O88196-2	Isoform 2 of E3 ubiquitin-protein ligase TTC3	Ttc3
O88196-3	Isoform 3 of E3 ubiquitin-protein ligase TTC3	Ttc3
O88196-4	Isoform 4 of E3 ubiquitin-protein ligase TTC3	Ttc3
O88196-5	Isoform 5 of E3 ubiquitin-protein ligase TTC3	Ttc3
O88196-6	Isoform 6 of E3 ubiquitin-protein ligase TTC3	Ttc3
O88199	Carbohydrate sulfotransferase 3	Chst3
O88200	C-type lectin domain family 11 member A	Clec11a
O88207	Collagen alpha-1(V) chain	Col5a1
O88207-2	Isoform 2 of Collagen alpha-1(V) chain	Col5a1
O88271	Craniofacial development protein 1	Cfdp1
O88273	Gremlin-2	Grem2
O88282	B-cell CLL/lymphoma 6 member B protein	Bcl6b
O88286	Protein Wiz	Wiz
O88286-2	Isoform S of Protein Wiz	Wiz
O88286-3	Isoform 2 of Protein Wiz	Wiz
O88286-4	Isoform 3 of Protein Wiz	Wiz
O88291	DBIRD complex subunit ZNF326	Znf326
O88291-2	Isoform 2 of DBIRD complex subunit ZNF326	Znf326
O88291-3	Isoform 3 of DBIRD complex subunit ZNF326	Znf326
O88307	Sortilin-related receptor	Sorl1
O88310	Intelectin-1a	Itln1
O88312	Anterior gradient protein 2 homolog	Agr2
O88319	Neurotensin receptor type 1	Ntsr1
O88322	Nidogen-2	Nid2
O88324	CD83 antigen	Cd83
O88327	Alpha-catulin	Ctnnal1
O88329	Unconventional myosin-Ia	Myo1a
O88335	ATP-sensitive inward rectifier potassium channel 1	Kcnj1
O88338	Cadherin-16	Cdh16
O88342	WD repeat-containing protein 1	Wdr1
O88343	Electrogenic sodium bicarbonate cotransporter 1	Slc4a4
O88343-2	Isoform 2 of Electrogenic sodium bicarbonate cotransporter 1	Slc4a4
O88343-3	Isoform 3 of Electrogenic sodium bicarbonate cotransporter 1	Slc4a4
O88346	"Troponin T, slow skeletal muscle"	Tnnt1
O88346-2	"Isoform 2 of Troponin T, slow skeletal muscle"	Tnnt1
O88346-3	"Isoform 3 of Troponin T, slow skeletal muscle"	Tnnt1
O88351	Inhibitor of nuclear factor kappa-B kinase subunit beta	Ikbkb
O88379	Bromodomain adjacent to zinc finger domain protein 1A	Baz1a
O88384	Vesicle transport through interaction with t-SNAREs homolog 1B	Vti1b
O88393	Transforming growth factor beta receptor type 3	Tgfbr3
O88396	"GrpE protein homolog 2, mitochondrial"	Grpel2
O88398	Advillin	Avil
O88410	C-X-C chemokine receptor type 3	Cxcr3
O88413	Tubby-related protein 3	Tulp3
O88416	Probable G-protein coupled receptor 33	Gpr33
O88425	Nucleoside diphosphate kinase 6	Nme6
O88427	Voltage-dependent T-type calcium channel subunit alpha-1H	Cacna1h
O88427-2	Isoform 2 of Voltage-dependent T-type calcium channel subunit alpha-1H	Cacna1h
O88428	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	Papss2
O88430	C-C motif chemokine 22	Ccl22
O88441	Metaxin-2	Mtx2
O88444	Adenylate cyclase type 1	Adcy1
O88445	Aurora kinase C	Aurkc
O88447	Kinesin light chain 1	Klc1
O88448	Kinesin light chain 2	Klc2
O88451	Retinol dehydrogenase 7	Rdh7
O88452	Stanniocalcin-2	Stc2
O88454	Potassium channel subfamily K member 4	Kcnk4
O88454-2	Isoform 2 of Potassium channel subfamily K member 4	Kcnk4
O88455	7-dehydrocholesterol reductase	Dhcr7
O88456	Calpain small subunit 1	Capns1
O88466	Zinc finger protein 106	Znf106
O88466-2	Isoform 2 of Zinc finger protein 106	Znf106
O88466-3	Isoform 3 of Zinc finger protein 106	Znf106
O88470	Forkhead box protein L2	Foxl2
O88472	Tumor necrosis factor receptor superfamily member 17	Tnfrsf17
O88472-2	Isoform 2 of Tumor necrosis factor receptor superfamily member 17	Tnfrsf17
O88477	Insulin-like growth factor 2 mRNA-binding protein 1	Igf2bp1
O88485	Cytoplasmic dynein 1 intermediate chain 1	Dync1i1
O88485-2	Isoform 1B of Cytoplasmic dynein 1 intermediate chain 1	Dync1i1
O88487	Cytoplasmic dynein 1 intermediate chain 2	Dync1i2
O88491	"Histone-lysine N-methyltransferase, H3 lysine-36 specific"	Nsd1
O88492	Perilipin-4	Plin4
O88492-2	Isoform 2 of Perilipin-4	Plin4
O88495	Melatonin-related receptor	Gpr50
O88502	"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A"	Pde8a
O88507	Ciliary neurotrophic factor receptor subunit alpha	Cntfr
O88508	DNA (cytosine-5)-methyltransferase 3A	Dnmt3a
O88508-2	Isoform 2 of DNA (cytosine-5)-methyltransferase 3A	Dnmt3a
O88509	DNA (cytosine-5)-methyltransferase 3B	Dnmt3b
O88509-2	Isoform 2 of DNA (cytosine-5)-methyltransferase 3B	Dnmt3b
O88509-3	Isoform 3 of DNA (cytosine-5)-methyltransferase 3B	Dnmt3b
O88509-4	Isoform 4 of DNA (cytosine-5)-methyltransferase 3B	Dnmt3b
O88512	AP-1 complex subunit gamma-like 2	Ap1g2
O88513	Geminin	Gmnn
O88516	Delta-like protein 3	Dll3
O88516-2	Isoform 1 of Delta-like protein 3	Dll3
O88520	Leucine-rich repeat protein SHOC-2	Shoc2
O88522	NF-kappa-B essential modulator	Ikbkg
O88531	Palmitoyl-protein thioesterase 1	Ppt1
O88532	Zinc finger RNA-binding protein	Zfr
O88533	Aromatic-L-amino-acid decarboxylase	Ddc
O88536	Formyl peptide receptor 2	Fpr2
O88537	Formyl peptide receptor-related sequence 3	Fpr-rs3
O88543	COP9 signalosome complex subunit 3	Cops3
O88544	COP9 signalosome complex subunit 4	Cops4
O88545	COP9 signalosome complex subunit 6	Cops6
O88551	Claudin-1	Cldn1
O88552	Claudin-2	Cldn2
O88554	Poly [ADP-ribose] polymerase 2	Parp2
O88559	Menin	Men1
O88559-2	Isoform 2 of Menin	Men1
O88561	Solute carrier family 27 member 3	Slc27a3
O88561-2	Isoform 2 of Solute carrier family 27 member 3	Slc27a3
O88566	Axin-2	Axin2
O88569	Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1
O88569-2	Isoform 2 of Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1
O88569-3	Isoform 3 of Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1
O88572	Low-density lipoprotein receptor-related protein 6	Lrp6
O88573	AF4/FMR2 family member 1	Aff1
O88574	Histone deacetylase complex subunit SAP30	Sap30
O88575	Sodium- and chloride-dependent transporter XTRP3B	Slc6a20b
O88576	Sodium-dependent neutral amino acid transporter B(0)AT3	Slc6a18
O88576-2	Isoform 2 of Sodium-dependent neutral amino acid transporter B(0)AT3	Slc6a18
O88576-3	Isoform 3 of Sodium-dependent neutral amino acid transporter B(0)AT3	Slc6a18
O88576-4	Isoform 4 of Sodium-dependent neutral amino acid transporter B(0)AT3	Slc6a18
O88576-5	Isoform 5 of Sodium-dependent neutral amino acid transporter B(0)AT3	Slc6a18
O88576-6	Isoform 6 of Sodium-dependent neutral amino acid transporter B(0)AT3	Slc6a18
O88587	Catechol O-methyltransferase	Comt
O88587-2	Isoform Soluble of Catechol O-methyltransferase	Comt
O88593	Peptidoglycan recognition protein 1	Pglyrp1
O88597	Beclin-1	Becn1
O88602	Voltage-dependent calcium channel gamma-2 subunit	Cacng2
O88609	LIM homeobox transcription factor 1-beta	Lmx1b
O88621	Forkhead box protein H1	Foxh1
O88621-2	Isoform Short of Forkhead box protein H1	Foxh1
O88622	Poly(ADP-ribose) glycohydrolase	Parg
O88622-2	Isoform 2 of Poly(ADP-ribose) glycohydrolase	Parg
O88623	Ubiquitin carboxyl-terminal hydrolase 2	Usp2
O88623-2	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 2	Usp2
O88623-3	Isoform 3 of Ubiquitin carboxyl-terminal hydrolase 2	Usp2
O88623-4	Isoform 4 of Ubiquitin carboxyl-terminal hydrolase 2	Usp2
O88627	Sodium/nucleoside cotransporter 2	Slc28a2
O88630	Golgi SNAP receptor complex member 1	Gosr1
O88632	Semaphorin-3F	Sema3f
O88632-2	Isoform A of Semaphorin-3F	Sema3f
O88634	Proteinase-activated receptor 4	F2rl3
O88643	Serine/threonine-protein kinase PAK 1	Pak1
O88653	Ragulator complex protein LAMTOR3	Lamtor3
O88662	Epithelial membrane protein 2	Emp2
O88665	Bromodomain-containing protein 7	Brd7
O88667	GTP-binding protein RAD	Rrad
O88668	Protein CREG1	Creg1
O88673	Diacylglycerol kinase alpha	Dgka
O88676	Matrix metalloproteinase-23	Mmp23
O88676-2	Isoform 2 of Matrix metalloproteinase-23	Mmp23
O88685	26S proteasome regulatory subunit 6A	Psmc3
O88689	Protocadherin alpha-4	Pcdha4
O88689-2	Isoform 2 of Protocadherin alpha-4	Pcdha4
O88689-3	Isoform 3 of Protocadherin alpha-4	Pcdha4
O88693	Ceramide glucosyltransferase	Ugcg
O88696	"ATP-dependent Clp protease proteolytic subunit, mitochondrial"	Clpp
O88697	Serine/threonine-protein kinase 16	Stk16
O88700	Bloom syndrome protein homolog	Blm
O88703	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2	Hcn2
O88704	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	Hcn1
O88705	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3	Hcn3
O88708	Origin recognition complex subunit 4	Orc4
O88712	C-terminal-binding protein 1	Ctbp1
O88712-2	Isoform 2 of C-terminal-binding protein 1	Ctbp1
O88712-3	Isoform 3 of C-terminal-binding protein 1	Ctbp1
O88713	Killer cell lectin-like receptor subfamily G member 1	Klrg1
O88721	Vasopressin V2 receptor	Avpr2
O88728	Interferon-induced transmembrane protein 5	Ifitm5
O88735	Ensconsin	Map7
O88735-2	Isoform 2 of Ensconsin	Map7
O88736	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7	Hsd17b7
O88737	Protein bassoon	Bsn
O88737-2	Isoform 2 of Protein bassoon	Bsn
O88738	Baculoviral IAP repeat-containing protein 6	Birc6
O88738-2	Isoform 2 of Baculoviral IAP repeat-containing protein 6	Birc6
O88738-3	Isoform 3 of Baculoviral IAP repeat-containing protein 6	Birc6
O88741	Ganglioside-induced differentiation-associated protein 1	Gdap1
O88741-2	Isoform 2 of Ganglioside-induced differentiation-associated protein 1	Gdap1
O88745	Scrapie-responsive protein 1	Scrg1
O88746	Target of Myb protein 1	Tom1
O88746-2	Isoform 2 of Target of Myb protein 1	Tom1
O88783	Coagulation factor V	F5
O88786	Interleukin-13 receptor subunit alpha-2	Il13ra2
O88786-2	Isoform 2 of Interleukin-13 receptor subunit alpha-2	Il13ra2
O88792	Junctional adhesion molecule A	F11r
O88796	Ribonuclease P protein subunit p30	Rpp30
O88799	Zonadhesin	Zan
O88803	Leukocyte cell-derived chemotaxin-2	Lect2
O88803-2	Isoform 2 of Leukocyte cell-derived chemotaxin-2	Lect2
O88809	Neuronal migration protein doublecortin	Dcx
O88811	Signal transducing adapter molecule 2	Stam2
O88811-2	Isoform 2 of Signal transducing adapter molecule 2	Stam2
O88816	Serotonin N-acetyltransferase	Aanat
O88819	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9	Fut9
O88822	Lathosterol oxidase	Sc5d
O88824	Protein JTB	Jtb
O88829	"Lactosylceramide alpha-2,3-sialyltransferase"	St3gal5
O88829-2	"Isoform 2 of Lactosylceramide alpha-2,3-sialyltransferase"	St3gal5
O88833	Cytochrome P450 4A10	Cyp4a10
O88834	SH2 domain-containing adapter protein D	Shd
O88834-2	Isoform 2 of SH2 domain-containing adapter protein D	Shd
O88838	SPRY domain-containing SOCS box protein 2	Spsb2
O88838-2	Isoform 2 of SPRY domain-containing SOCS box protein 2	Spsb2
O88839	Disintegrin and metalloproteinase domain-containing protein 15	Adam15
O88839-2	Isoform 2 of Disintegrin and metalloproteinase domain-containing protein 15	Adam15
O88839-3	Isoform 3 of Disintegrin and metalloproteinase domain-containing protein 15	Adam15
O88839-4	Isoform 4 of Disintegrin and metalloproteinase domain-containing protein 15	Adam15
O88842	"FYVE, RhoGEF and PH domain-containing protein 3"	Fgd3
O88842-2	"Isoform 2 of FYVE, RhoGEF and PH domain-containing protein 3"	Fgd3
O88843	Death domain-containing protein CRADD	Cradd
O88844	Isocitrate dehydrogenase [NADP] cytoplasmic	Idh1
O88845	"A-kinase anchor protein 10, mitochondrial"	Akap10
O88845-2	"Isoform 2 of A-kinase anchor protein 10, mitochondrial"	Akap10
O88845-3	"Isoform 3 of A-kinase anchor protein 10, mitochondrial"	Akap10
O88848	ADP-ribosylation factor-like protein 6	Arl6
O88848-2	Isoform 2 of ADP-ribosylation factor-like protein 6	Arl6
O88851	Putative hydrolase RBBP9	Rbbp9
O88852	Testis-specific Y-encoded-like protein 1	Tspyl1
O88853	Galanin receptor type 3	Galr3
O88854	Galanin receptor type 2	Galr2
O88855	Leukotriene B4 receptor 1	Ltb4r
O88856	Protein-tyrosine sulfotransferase 2	Tpst2
O88866	Hormonally up-regulated neu tumor-associated kinase	Hunk
O88870	Bestrophin-1	Best1
O88874	Cyclin-K	Ccnk
O88875	CD160 antigen	Cd160
O88876	Short-chain dehydrogenase/reductase 3	Dhrs3
O88876-2	Isoform 2 of Short-chain dehydrogenase/reductase 3	Dhrs3
O88878	AN1-type zinc finger protein 5	Zfand5
O88879	Apoptotic protease-activating factor 1	Apaf1
O88879-2	Isoform 2 of Apoptotic protease-activating factor 1	Apaf1
O88888	Amyloid-beta A4 precursor protein-binding family A member 3	Apba3
O88890	SH2 domain-containing protein 1A	Sh2d1a
O88890-2	Isoform Short of SH2 domain-containing protein 1A	Sh2d1a
O88892	Small EDRK-rich factor 1	Serf1
O88895	Histone deacetylase 3	Hdac3
O88895-2	Isoform Short of Histone deacetylase 3	Hdac3
O88898	Tumor protein 63	Tp63
O88898-2	Isoform 2 of Tumor protein 63	Tp63
O88898-3	Isoform 3 of Tumor protein 63	Tp63
O88898-4	Isoform 4 of Tumor protein 63	Tp63
O88898-5	Isoform 5 of Tumor protein 63	Tp63
O88898-6	Isoform 6 of Tumor protein 63	Tp63
O88904	Homeodomain-interacting protein kinase 1	Hipk1
O88904-2	Isoform 2 of Homeodomain-interacting protein kinase 1	Hipk1
O88904-3	Isoform 3 of Homeodomain-interacting protein kinase 1	Hipk1
O88907	E3 SUMO-protein ligase PIAS1	Pias1
O88908	Sterol O-acyltransferase 2	Soat2
O88909	Solute carrier family 22 member 8	Slc22a8
O88910	MAGUK p55 subfamily member 3	Mpp3
O88932	ATP-sensitive inward rectifier potassium channel 15	Kcnj15
O88935	Synapsin-1	Syn1
O88935-1	Isoform Ib of Synapsin-1	Syn1
O88935-3	Isoform 3 of Synapsin-1	Syn1
O88939	Zinc finger and BTB domain-containing protein 7A	Zbtb7a
O88939-2	Isoform 2 of Zinc finger and BTB domain-containing protein 7A	Zbtb7a
O88940	Musculin	Msc
